id,Province,City,District,bm
1,北京市,北京市,东城区,110101
2,北京市,北京市,西城区,110102
3,北京市,北京市,崇文区,110103
4,北京市,北京市,宣武区,110104
5,北京市,北京市,朝阳区,110105
6,北京市,北京市,丰台区,110106
7,北京市,北京市,石景山区,110107
8,北京市,北京市,海淀区,110108
9,北京市,北京市,门头沟区,110109
10,北京市,北京市,燕山区,110110
11,北京市,北京市,房山区,110111
12,北京市,北京市,通州区,110112
13,北京市,北京市,顺义区,110113
14,北京市,北京市,昌平区,110114
15,北京市,北京市,大兴区,110115
16,北京市,北京市,怀柔区,110116
17,北京市,北京市,平谷区,110117
18,北京市,北京市,昌平县,110221
19,北京市,北京市,顺义县,110222
20,北京市,北京市,通县,110223
21,北京市,北京市,大兴县,110224
22,北京市,北京市,房山县,110225
23,北京市,北京市,平谷县,110226
24,北京市,北京市,怀柔县,110227
25,北京市,北京市,密云县,110228
26,北京市,北京市,延庆县,110229
27,天津市,天津市,和平区,120101
28,天津市,天津市,河东区,120102
29,天津市,天津市,河西区,120103
30,天津市,天津市,南开区,120104
31,天津市,天津市,河北区,120105
32,天津市,天津市,红桥区,120106
33,天津市,天津市,塘沽区,120107
34,天津市,天津市,汉沽区,120108
35,天津市,天津市,大港区,120109
36,天津市,天津市,东丽区,120110
37,天津市,天津市,西青区,120111
38,天津市,天津市,津南区,120112
39,天津市,天津市,北辰区,120113
40,天津市,天津市,武清区,120114
41,天津市,天津市,宝坻区,120115
42,天津市,天津市,宁河县,120221
43,天津市,天津市,武清县,120222
44,天津市,天津市,静海县,120223
45,天津市,天津市,宝坻县,120224
46,天津市,天津市,蓟县,120225
47,河北省,石家庄市,市辖区,130101
48,河北省,石家庄市,长安区,130102
49,河北省,石家庄市,桥东区,130103
50,河北省,石家庄市,桥西区,130104
51,河北省,石家庄市,新华区,130105
52,河北省,石家庄市,郊区,130106
53,河北省,石家庄市,井陉矿区,130107
54,河北省,石家庄市,裕华区,130108
55,河北省,石家庄市,井陉县,130121
56,河北省,石家庄市,获鹿县,130122
57,河北省,石家庄市,正定县,130123
58,河北省,石家庄市,栾城县,130124
59,河北省,石家庄市,行唐县,130125
60,河北省,石家庄市,灵寿县,130126
61,河北省,石家庄市,高邑县,130127
62,河北省,石家庄市,深泽县,130128
63,河北省,石家庄市,赞皇县,130129
64,河北省,石家庄市,无极县,130130
65,河北省,石家庄市,平山县,130131
66,河北省,石家庄市,元氏县,130132
67,河北省,石家庄市,赵县,130133
68,河北省,石家庄市,辛集市,130181
69,河北省,石家庄市,藁城市,130182
70,河北省,石家庄市,晋州市,130183
71,河北省,石家庄市,新乐市,130184
72,河北省,石家庄市,鹿泉市,130185
73,河北省,唐山市,市辖区,130201
74,河北省,唐山市,路南区,130202
75,河北省,唐山市,路北区,130203
76,河北省,唐山市,古冶区,130204
77,河北省,唐山市,开平区,130205
78,河北省,唐山市,新区,130206
79,河北省,唐山市,丰南区,130207
80,河北省,唐山市,丰润区,130208
81,河北省,唐山市,丰润县,130221
82,河北省,唐山市,丰南县,130222
83,河北省,唐山市,滦县,130223
84,河北省,唐山市,滦南县,130224
85,河北省,唐山市,乐亭县,130225
86,河北省,唐山市,迁安县,130226
87,河北省,唐山市,迁西县,130227
88,河北省,唐山市,遵化县,130228
89,河北省,唐山市,玉田县,130229
90,河北省,唐山市,唐海县,130230
91,河北省,唐山市,遵化市,130281
92,河北省,唐山市,丰南市,130282
93,河北省,唐山市,迁安市,130283
94,河北省,秦皇岛市,市辖区,130301
95,河北省,秦皇岛市,海港区,130302
96,河北省,秦皇岛市,山海关区,130303
97,河北省,秦皇岛市,北戴河区,130304
98,河北省,秦皇岛市,青龙满族自治县,130321
99,河北省,秦皇岛市,昌黎县,130322
100,河北省,秦皇岛市,抚宁县,130323
101,河北省,秦皇岛市,卢龙县,130324
102,河北省,邯郸市,市辖区,130401
103,河北省,邯郸市,邯山区,130402
104,河北省,邯郸市,丛台区,130403
105,河北省,邯郸市,复兴区,130404
106,河北省,邯郸市,郊区,130405
107,河北省,邯郸市,峰峰矿区,130406
108,河北省,邯郸市,邯郸县,130421
109,河北省,邯郸市,武安县,130422
110,河北省,邯郸市,临漳县,130423
111,河北省,邯郸市,成安县,130424
112,河北省,邯郸市,大名县,130425
113,河北省,邯郸市,涉县,130426
114,河北省,邯郸市,磁县,130427
115,河北省,邯郸市,肥乡县,130428
116,河北省,邯郸市,永年县,130429
117,河北省,邯郸市,邱县,130430
118,河北省,邯郸市,鸡泽县,130431
119,河北省,邯郸市,广平县,130432
120,河北省,邯郸市,馆陶县,130433
121,河北省,邯郸市,魏县,130434
122,河北省,邯郸市,曲周县,130435
123,河北省,邯郸市,武安市,130481
124,河北省,邢台市,市辖区,130501
125,河北省,邢台市,桥东区,130502
126,河北省,邢台市,桥西区,130503
127,河北省,邢台市,邢台县,130521
128,河北省,邢台市,临城县,130522
129,河北省,邢台市,内丘县,130523
130,河北省,邢台市,柏乡县,130524
131,河北省,邢台市,隆尧县,130525
132,河北省,邢台市,任县,130526
133,河北省,邢台市,南和县,130527
134,河北省,邢台市,宁晋县,130528
135,河北省,邢台市,巨鹿县,130529
136,河北省,邢台市,新河县,130530
137,河北省,邢台市,广宗县,130531
138,河北省,邢台市,平乡县,130532
139,河北省,邢台市,威县,130533
140,河北省,邢台市,清河县,130534
141,河北省,邢台市,临西县,130535
142,河北省,邢台市,南宫市,130581
143,河北省,邢台市,沙河市,130582
144,河北省,保定市,市辖区,130601
145,河北省,保定市,新市区,130602
146,河北省,保定市,北市区,130603
147,河北省,保定市,南市区,130604
148,河北省,保定市,满城县,130621
149,河北省,保定市,清苑县,130622
150,河北省,保定市,涞水县,130623
151,河北省,保定市,阜平县,130624
152,河北省,保定市,徐水县,130625
153,河北省,保定市,定兴县,130626
154,河北省,保定市,唐县,130627
155,河北省,保定市,高阳县,130628
156,河北省,保定市,容城县,130629
157,河北省,保定市,涞源县,130630
158,河北省,保定市,望都县,130631
159,河北省,保定市,安新县,130632
160,河北省,保定市,易县,130633
161,河北省,保定市,曲阳县,130634
162,河北省,保定市,蠡县,130635
163,河北省,保定市,顺平县,130636
164,河北省,保定市,博野县,130637
165,河北省,保定市,雄县,130638
166,河北省,保定市,涿州市,130681
167,河北省,保定市,定州市,130682
168,河北省,保定市,安国市,130683
169,河北省,保定市,高碑店市,130684
170,河北省,张家口市,市辖区,130701
171,河北省,张家口市,桥东区,130702
172,河北省,张家口市,桥西区,130703
173,河北省,张家口市,宣化区,130705
174,河北省,张家口市,下花园区,130706
175,河北省,张家口市,宣化县,130721
176,河北省,张家口市,张北县,130722
177,河北省,张家口市,康保县,130723
178,河北省,张家口市,沽源县,130724
179,河北省,张家口市,尚义县,130725
180,河北省,张家口市,蔚县,130726
181,河北省,张家口市,阳原县,130727
182,河北省,张家口市,怀安县,130728
183,河北省,张家口市,万全县,130729
184,河北省,张家口市,怀来县,130730
185,河北省,张家口市,涿鹿县,130731
186,河北省,张家口市,赤城县,130732
187,河北省,张家口市,崇礼县,130733
188,河北省,承德市,市辖区,130801
189,河北省,承德市,双桥区,130802
190,河北省,承德市,双滦区,130803
191,河北省,承德市,鹰手营子矿区,130804
192,河北省,承德市,承德县,130821
193,河北省,承德市,兴隆县,130822
194,河北省,承德市,平泉县,130823
195,河北省,承德市,滦平县,130824
196,河北省,承德市,隆化县,130825
197,河北省,承德市,丰宁满族自治县,130826
198,河北省,承德市,宽城满族自治县,130827
199,河北省,承德市,围场满族蒙古族自治县,130828
200,河北省,沧州市,市辖区,130901
201,河北省,沧州市,新华区,130902
202,河北省,沧州市,运河区,130903
203,河北省,沧州市,郊区,130904
204,河北省,沧州市,沧县,130921
205,河北省,沧州市,青县,130922
206,河北省,沧州市,东光县,130923
207,河北省,沧州市,海兴县,130924
208,河北省,沧州市,盐山县,130925
209,河北省,沧州市,肃宁县,130926
210,河北省,沧州市,南皮县,130927
211,河北省,沧州市,吴桥县,130928
212,河北省,沧州市,献县,130929
213,河北省,沧州市,孟村回族自治县,130930
214,河北省,沧州市,泊头市,130981
215,河北省,沧州市,任丘市,130982
216,河北省,沧州市,黄骅市,130983
217,河北省,沧州市,河间市,130984
218,河北省,廊坊市,市辖区,131001
219,河北省,廊坊市,安次区,131002
220,河北省,廊坊市,广阳区,131003
221,河北省,廊坊市,三河县,131021
222,河北省,廊坊市,固安县,131022
223,河北省,廊坊市,永清县,131023
224,河北省,廊坊市,香河县,131024
225,河北省,廊坊市,大城县,131025
226,河北省,廊坊市,文安县,131026
227,河北省,廊坊市,霸县,131027
228,河北省,廊坊市,大厂回族自治县,131028
229,河北省,廊坊市,霸州市,131081
230,河北省,廊坊市,三河市,131082
231,河北省,衡水市,市辖区,131101
232,河北省,衡水市,桃城区,131102
233,河北省,衡水市,枣强县,131121
234,河北省,衡水市,武邑县,131122
235,河北省,衡水市,武强县,131123
236,河北省,衡水市,饶阳县,131124
237,河北省,衡水市,安平县,131125
238,河北省,衡水市,故城县,131126
239,河北省,衡水市,景县,131127
240,河北省,衡水市,阜城县,131128
241,河北省,衡水市,冀州市,131181
242,河北省,衡水市,深州市,131182
243,河北省,邯郸地区,邯郸市,132101
244,河北省,邯郸地区,大名县,132121
245,河北省,邯郸地区,魏县,132122
246,河北省,邯郸地区,曲周县,132123
247,河北省,邯郸地区,丘县,132124
248,河北省,邯郸地区,鸡泽县,132125
249,河北省,邯郸地区,肥乡县,132126
250,河北省,邯郸地区,广平县,132127
251,河北省,邯郸地区,成安县,132128
252,河北省,邯郸地区,临漳县,132129
253,河北省,邯郸地区,磁县,132130
254,河北省,邯郸地区,武安县,132131
255,河北省,邯郸地区,涉县,132132
256,河北省,邯郸地区,永年县,132133
257,河北省,邯郸地区,邯郸县,132134
258,河北省,邯郸地区,馆陶县,132135
259,河北省,邢台地区,南宫市,132201
260,河北省,邢台地区,沙河市,132202
261,河北省,邢台地区,邢台县,132221
262,河北省,邢台地区,沙河县,132222
263,河北省,邢台地区,临城县,132223
264,河北省,邢台地区,内丘县,132224
265,河北省,邢台地区,柏乡县,132225
266,河北省,邢台地区,隆尧县,132226
267,河北省,邢台地区,任县,132227
268,河北省,邢台地区,南和县,132228
269,河北省,邢台地区,宁晋县,132229
270,河北省,邢台地区,南宫县,132230
271,河北省,邢台地区,巨鹿县,132231
272,河北省,邢台地区,新河县,132232
273,河北省,邢台地区,广宗县,132233
274,河北省,邢台地区,平乡县,132234
275,河北省,邢台地区,威县,132235
276,河北省,邢台地区,清河县,132236
277,河北省,邢台地区,临西县,132237
278,河北省,石家庄市,辛集市,132301
279,河北省,石家庄市,藁城市,132302
280,河北省,石家庄市,束鹿县,132321
281,河北省,石家庄市,晋县,132322
282,河北省,石家庄市,深泽县,132323
283,河北省,石家庄市,无极县,132324
284,河北省,石家庄市,藁城县,132325
285,河北省,石家庄市,赵县,132326
286,河北省,石家庄市,栾城县,132327
287,河北省,石家庄市,正定县,132328
288,河北省,石家庄市,新乐县,132329
289,河北省,石家庄市,高邑县,132330
290,河北省,石家庄市,元氏县,132331
291,河北省,石家庄市,赞皇县,132332
292,河北省,石家庄市,井陉县,132333
293,河北省,石家庄市,获鹿县,132334
294,河北省,石家庄市,平山县,132335
295,河北省,石家庄市,灵寿县,132336
296,河北省,石家庄市,行唐县,132337
297,河北省,保定地区,定州市,132401
298,河北省,保定地区,涿州市,132402
299,河北省,保定地区,安国市,132403
300,河北省,保定地区,高碑店市,132404
301,河北省,保定地区,易县,132421
302,河北省,保定地区,满城县,132422
303,河北省,保定地区,徐水县,132423
304,河北省,保定地区,涞源县,132424
305,河北省,保定地区,定兴县,132425
306,河北省,保定地区,完县,132426
307,河北省,保定地区,唐县,132427
308,河北省,保定地区,望都县,132428
309,河北省,保定地区,涞水县,132429
310,河北省,保定地区,涿县,132430
311,河北省,保定地区,清苑县,132431
312,河北省,保定地区,高阳县,132432
313,河北省,保定地区,安新县,132433
314,河北省,保定地区,雄县,132434
315,河北省,保定地区,容城县,132435
316,河北省,保定地区,新城县,132436
317,河北省,保定地区,曲阳县,132437
318,河北省,保定地区,阜平县,132438
